Panel Name,Panel ID,Version Number,Gene Name,Gene Status
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MAP3K20*,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MEGF10,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MICU1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MTM1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH2,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH3,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH7,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH8,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYO18B,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,NEB,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ORAI1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,RYR1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SCN4A,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SEPN1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SLC25A4,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SPEG,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,STAC3,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,STIM1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TNNT1,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TPM2,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TPM3,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TTN,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,VMA21,Green
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CASQ1,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CCDC78,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CNTN1,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,HACD1,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,KY,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,LAMP2,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MTMR14,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYBPC3,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYL1,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYPN,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,NEFL,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,VPS33B,Amber
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ATP2A1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,BAG3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CAV3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CHCHD10,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,COL9A3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CPT2,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,CRYAB,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,DES,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,DMPK,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,DNAJB6,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,DYSF,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ECEL1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,FAM111B,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,FLNC,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,GFER,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,GNE,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,HNRNPA1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,HRAS,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,ISCU,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,LDB3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MATR3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MT-TL1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYBPC1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYF6,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYH14,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,MYOT,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,PIEZO2,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,PNPLA2,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,PUS1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,RBCK1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,SLC25A42,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,STIM2,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TIA1,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TNNI2,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,TNNT3,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,VCP,Red
Congenital myopathy,553f94b6bb5a1616e5ed459a,1.41,YARS2,Red
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,AGRN,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHAT,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHRNA1,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHRNB1,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHRND,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHRNE,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,CHRNG,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,COL13A1,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,COLQ,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,DOK7,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,DPAGT1,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,GFPT1,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,GMPPB,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,LRP4,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,MUSK,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,PLEC,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,RAPSN,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,SCN4A,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,SLC18A3,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,SLC5A7,Green
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,ALG2,Amber
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,MYO9A,Amber
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,ALG14,Red
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,LAMB2,Red
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,PREPL,Red
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,SNAP25,Red
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,SYT2,Red
Congenital myaesthenia,553f94c2bb5a1616e5ed459c,1.4,GRN,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,CFTR,Green
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,PIK3CD,Green
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,SCNN1A,Green
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,SCNN1B,Green
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,SCNN1G,Green
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,CCDC39,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,CCDC40,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,DNAAF1,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,DNAAF2,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,DNAH11,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,DNAH5,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,DNAI1,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,DNAI2,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,DNAL1,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,NME8,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,RSPH4A,Red
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.2,RSPH9,Red
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,ATP6V0A4,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,ATP6V1B1,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,BSND,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,CA2,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,CLCNKB,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,CTNS,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,EHHADH,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,FAH,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,KCNJ1,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,SLC12A1,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,SLC12A3,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,SLC4A1,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,SLC4A4,Green
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,SCNN1B,Red
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.4,TRPM6,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,AGXT,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,APRT,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,ATP6V0A4,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,ATP6V1B1,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,BSND,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,CA2,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,CASR,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,CLCN5,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,CLCNKB,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,CLDN16,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,CLDN19,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,CYP24A1,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,GRHPR,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,HOGA1,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,KCNJ1,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,OCRL,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC12A1,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC34A1,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC34A3,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC3A1,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC4A1,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC7A9,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC9A3R1,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,TRPM6,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,XDH,Green
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,ADCY10,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,AGK,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,AP2S1,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,CLCNKA,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,FAM20A,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,GNA11,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,HNF4A,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,HPRT1,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC22A12,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC2A9,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC36A2,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC6A19,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC6A20,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,SLC9A3,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,VDR,Red
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.9,ZNF365,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,BLNK,Green
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,BTK,Green
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,CD19,Green
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,CTLA4,Green
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,DNMT3B,Green
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,IGHM,Green
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,IKZF1,Green
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,PIK3CD,Green
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,PIK3R1,Green
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,TCN2,Green
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,MYD88,Amber
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,TNFRSF13B,Amber
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,CD79A,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,CD79B,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,CR2,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,ELF4,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,GAD1,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,ICOS,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,IGLL1,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,LRRC8A,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,AICDA,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,NFKB2,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,PLCG2,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,TCF3,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,TTC37,Red
A- or hypo-gammaglobulinaemia,553f9595bb5a1616e5ed45a8,1.10,UNG,Red
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,CXCR4,Green
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,ELANE,Green
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,G6PC3,Green
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,GFI1,Green
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,HAX1,Green
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,SBDS,Green
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,SLC37A4,Green
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,TAZ,Green
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,TCN2,Green
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,VPS45,Green
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,WAS,Green
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,CSF3R,Red
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,FCGR3B,Red
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,GATA1,Red
Congenital neutropaenia,553f9595bb5a1616e5ed45a9,1.17,RAC2,Red
Agranulocytosis,553f9596bb5a1616e5ed45aa,1.2,HAX1,Green
Agranulocytosis,553f9596bb5a1616e5ed45aa,1.2,TCN2,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,CHD7,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,EFTUD2,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,FANCB,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,FGF10,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,HOXA13,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,MYCN,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,PUF60,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,SALL1,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,SALL4,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,TBX3,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,TBX5,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,TRAP1,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,ZIC3,Green
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,ARHGAP31,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,BMP2,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,BMPR1B,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,CC2D2A,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,CDH3,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,CEP290,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,CHSY1,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,ESCO2,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,FBLN1,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,FBXW4,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,FGFR2,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,FGFR3,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,FMN1,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,GDF5,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,GLI3,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,GNAS,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,GREM1,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,HDAC4,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,HOXD13,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,IHH,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,KIF7,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,LMBR1,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,LRP4,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,MGP,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,MIR17HG,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,MKS1,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,NIPBL,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,NOG,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,PIGV,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,PITX1,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,PTEN,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,PTHLH,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,RECQL4,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,ROR2,Red
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.6,RPGRIP1L,Red
