Panel Name,Panel ID,Version Number
Dilated Cardiomyopathy and conduction defects,55a4d99022c1fc6710839b84,1.33
Disorders of sex development,569380ac22c1fc251660faf8,1.19
Disseminated non-tuberculous mycobacterial infection,5885eb948f620309044f8a0b,0.11
Distal myopathies,55b7a0bb22c1fc05fd2345d1,1.1
Ductal plate malformation (DPM),58c8066b8f6203413360f1cf,0.1
Early onset dementia (encompassing fronto-temporal dementia and prion disease),55b6173522c1fc05fc7a1855,1.13
Early onset dystonia,553f95c9bb5a1616e5ed45bf,1.45
Early onset familial premature ovarian insufficiency,575ed2398f62034208b69ee1,1.10
Ectodermal dysplasia without a known gene mutation,561677af22c1fc212a6db65d,1.11
Ehlers-Danlos syndromes,588728f38f62030cf7152165,1.16
Endometrial cancer pertinent cancer susceptibility,596f859c8f620352d0e3eec9,0.12
Epidermolysis bullosa,56310b9a22c1fc58285b282c,1.3
Epileptic encephalopathy,55940f0e22c1fc4f7d26e965,1.114
"Erythropoietic protoporphyria, mild variant",553f9599bb5a1616e5ed45af,1.2
Extreme early-onset hypertension,553f9697bb5a1616e5ed45d4,1.6
Familial Focal Epilepsies,5549fce0bb5a167e4ccd1ebc,1.9
Familial Genetic Generalised Epilepsies,5549fcdfbb5a167e4ccd1ebb,1.22
Familial Hirschsprung Disease,58c7f5008f620328d77ce70f,1.1
Familial Meniere Disease,394,0.6
Familial Neural Tube Defects,57e3df7e8f62034b82c0d332,1.2
Familial Pneumothorax,572c908e8f62036eed0a39c8,1.6
Familial Thoracic Aortic Aneurysm Disease,5596735822c1fc4f7d26e96d,1.75
Familial Tumours Syndromes of the central & peripheral Nervous system,55af764522c1fc78a829f89a,1.4
Familial breast cancer,55b62bc422c1fc05fc7a1857,1.13
Familial cerebral small vessel disease,5693787622c1fc25158f3c9a,1.2
Familial cicatricial alopecia,568e844522c1fc1c78b67156,1.1
Familial diabetes,553f9745bb5a1616e5ed45e9,1.7
Familial disseminated superficial actinic porokeratosis,5763f6048f620350a1996052,1.1
Familial dysautonomia,5763f1d68f620350a22bccdc,1.4
Familial haematuria,55e01bb222c1fc6199b42904,1.14
Familial haemophagocytic lymphohistiocytic disorders,578e24b78f62031b4bd04516,0.2
Familial hidradenitis suppurativa,5885e9db8f620309044f8a0a,1.1
Familial hypercholesterolaemia,561518be22c1fc212900fb84,1.15
Familial non syndromic congenital heart disease,583c128f8f62036f70db8d29,1.27
Familial or syndromic hypoparathyroidism,55bf826222c1fc0fe45530c1,1.6
Familial ovarian cancer,592843a08f6203468490fa68,1.1
Familial prostate cancer,5763f2bf8f620350a1996047,1.1
Familial pulmonary fibrosis,563259de22c1fc58285b2840,1.3
Familial rhabdomyosarcoma,55b7337f22c1fc05fd2345ba,1.0
Fetal hydrops,5763f4868f620350a199604f,1.12
Fetal structural CNS abnormalities,56938f1a22c1fc251660fb16,0.4
GI tract tumours,591444928f620348d4b20c16,1.5
Gastrointestinal epithelial barrier disorders,56ba026422c1fc5025762b4f,0.10
Generalised pustular psoriasis,5616435a22c1fc212900fbd1,1.3
Genetic Epilepsies with Febrile Seizures Plus (GEFS+),5549fcd4bb5a167e4ccd1eb9,1.9
Genodermatoses with malignancies,55d1c77722c1fc237ed709f8,1.2
Glaucoma (developmental),55507b25bb5a161bf644a3b2,1.1
Haematological malignancies pertinent cancer susceptibility,594a71908f620375d17ea6b2,0.17
Head and neck cancer pertinent cancer susceptibility,596f86a58f620352d0e3eed3,0.22
Hereditary Erythrocytosis,58c7fba38f6203345887d4f5,1.1
Hereditary ataxia,559a7d1022c1fc58ad67fc97,1.85
Hereditary haemorrhagic telangiectasia,5633857722c1fc582756e3d9,1.26
Hereditary spastic paraplegia,55ad019f22c1fc7042059038,1.50
Holoprosencephaly,568e87e022c1fc1c79ca1754,1.2
Hydroa vacciniforme,553f9599bb5a1616e5ed45b0,1.2
Hydrocephalus,5763f35c8f620350a22bccdf,1.14
Hyperammonaemia,5548cc07bb5a16250cc22015,1.8
Hyperinsulinism,553f9781bb5a1616e5ed45f4,1.2
Hypertrophic Cardiomyopathy,55a39e2d22c1fc6711b0c6b3,1.20
IUGR and IGF abnormalities,553f9744bb5a1616e5ed45e8,1.22
Idiopathic hypogonadotropic hypogonadism,573b204d8f62030defb98057,1.14
Idiopathic ventricular fibrillation,5885e8ca8f620309044f8a09,0.5
Infantile enterocolitis & monogenic inflammatory bowel disease,56ba026c22c1fc5025762b50,1.12
Infantile nystagmus,563242a422c1fc582756e3cd,1.2
Inherited bleeding disorders,5763f32a8f620350a22bccde,1.105
Inherited complement deficiency,56323bce22c1fc58285b2837,0.11
Inherited non-medullary thyroid cancer,576cd7ca8f6203609632be82,1.1
Inherited optic neuropathies,553f95e2bb5a1616e5ed45c8,1.11
Inherited white matter disorders,568f920822c1fc1c79ca177a,1.17
Insulin resistance (including lipodystrophy,55b2109c22c1fc7dd7ce411f,1.3
Intellectual disability,558aa423bb5a16630e15b63c,1.648
Intracerebral calcification disorders,568f8db422c1fc1c79ca1777,1.9
Juvenile dermatomyositis,558c24a2bb5a166f63868678,1.2
Kabuki syndrome,5549d5c4bb5a1630f22d5886,1.2
Ketotic hypoglycaemia,5554c896bb5a161bf644a3cf,1.2
Kleine-Levin syndrome,55ace3c022c1fc7042059034,1.3
Left Ventricular Noncompaction Cardiomyopathy,55a38d3a22c1fc64c2942434,1.2
Limb disorders,384,0.5
Limb girdle muscular dystrophy,55b7a65322c1fc05fc7a1869,1.6
Long QT syndrome,55a3b19722c1fc6710839b80,1.5
Lung cancer pertinent cancer susceptibility,596f88628f620352d1224b99,0.4
Lymphatic Disorders,57ee82ef8f62035c9b2d0487,1.12
Malformations of cortical development,568f8ba422c1fc1c79ca1774,1.128
Melanoma pertinent cancer susceptibility,596f89168f620352d1224bdb,0.11
Mitochondrial disorders,55928cf522c1fc4f7d26e960,1.64
Monogenic viral susceptibility,58c7fd7f8f6203413360f1b6,0.8
"Mucopolysaccharideosis, Gaucher, Fabry",55bf939f22c1fc0fe45530c4,1.2
Multi-organ autoimmune diabetes,55d1e3f522c1fc237fbd46e9,1.4
Multiple Epiphyseal Dysplasia,553f968cbb5a1616e5ed45cd,1.2
Multiple Tumours,55af785222c1fc78a9ef5058,1.90
Multiple endocrine tumours,553f94b4bb5a1616e5ed4595,1.5
Multiple lipomas,5763f2ea8f620350a1996048,1.1
Neonatal and familial gastrointestinal neuromuscular disorders,578e26918f62031b478bdb68,1.6
Neonatal diabetes diagnosed <6 months,55a9041e22c1fc6711b0c6c0,1.1
Neonatal or paediatric intensive care admission with a likely monogenic cause,5763f4f18f620350a1996051,0.4
Neuro-endocrine Tumours- PCC and PGL,553f9599bb5a1616e5ed45b1,1.2
Neuroendocrine cancer pertinent cancer susceptibility,596f87dc8f620352d0e3eee2,0.32
Neurofibromatosis Type 1,57c5b45b8f62030d5014a949,1.24
Neurotransmitter disorders,56ba025922c1fc5025762b4e,1.3
Non-CF bronchiectasis,553f94cabb5a1616e5ed45a2,1.3
Non-syndromic familial congenital anorectal malformations,576cd7e38f62036097d6cc9c,0.3
Non-syndromic hypotrichosis,56937d0d22c1fc25158f3c9e,1.1
Ocular and oculo-cutaneous albinism,5763f1118f620350a22bccda,1.17
Ocular coloboma,5550a166bb5a161bf644a3b6,1.14
Osteogenesis Imperfecta,55896ed2bb5a1671a7fef4f9,1.7
Ovarian cancer pertinent cancer susceptibility,596f8ca98f620352d1224c1e,0.15
PHACE(S) syndrome,5763f4408f620350a22bcce1,1.1
Paediatric congenital malformation-dysmorphism-tumour syndromes,55af539322c1fc78a9ef5052,1.18
Paediatric motor neuronopathies,5541ef3dbb5a160c33b964e0,1.9
Pain syndromes,59621a1c8f62036f45d561a3,1.1
Palmoplantar keratoderma and erythrokeratodermas,562f5e7822c1fc582756e3bb,1.15
Pancreatitis,386,0.0
Parathyroid Cancer,55d3196022c1fc313273e328,1.3
Parkinson Disease and Complex Parkinsonism,58078e6e8f62030e233a8157,1.21
Peeling skin syndrome,568ea06122c1fc1c78b67161,1.2
Periodic fever syndromes,55a6566d22c1fc6710839b9c,1.10
Peroxisomal disorders,57b6f5058f6203767a308772,1.6
Pityriasis rubra pilaris,5763f3038f620350a1996049,1.1
Posterior segment abnormalities,56e0238b22c1fc09c97a6e46,1.69
Primary Membranoproliferative Glomerulonephritis,58c805938f6203413360f1cb,1.1
Primary Microcephaly - Microcephalic Dwarfism Spectrum,568f860222c1fc1c79ca1769,1.26
Primary ciliary disorders,55a76be222c1fc6710839b9f,1.13
Prostate cancer pertinent cancer susceptibility,596f8bc88f620352d1224c1a,0.7
Proteinuric renal disease,55af787822c1fc78a829f89f,1.9
Pulmonary arterial hypertension,58c7f8a78f62033482c42716,1.8
RASopathies,564cbd3622c1fc10dcb42ac7,1.18
Radial dysplasia,5763f4588f620350a199604e,1.2
Rare multisystem ciliopathy disorders,568ea01e22c1fc1c78b6715d,1.40
Refuted genes,597876f78f62037ff034648f,0.9
Regional overgrowth disorders,5763f2348f620350a1996043,1.3
Renal cancer pertinent cancer susceptibility,596f8d5c8f620352d1224c2a,0.14
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis),553f94d5bb5a1616e5ed45a5,1.12
Renal tubular acidosis,553f94d5bb5a1616e5ed45a4,1.5
Resistance to thyroid hormone,576cd44c8f6203609632be80,1.1
Rhabdomyolysis and metabolic muscle disorders,55b63d7f22c1fc05fc7a185b,1.21
SCID,55a62bba22c1fc6710839b95,1.4
Sarcoma pertinent cancer susceptibility,59708b898f62035a04257dd8,0.6
Severe familial anorexia,5550b7bebb5a161bf644a3bc,1.2
Severe hypertriglyceridaemia,57eab3658f620356ef5e4010,1.2
Severe multi-system atopic disease with high IgE,553f95d0bb5a1616e5ed45c1,1.7
Short QT syndrome,58c7f6858f620328d77ce711,0.1
Significant early-onset obesity +/- other endocrine features and short stature,55d2fc2d22c1fc2cc6635960,1.3
Silver Russell syndrome,5739e7268f62030c3a8f9767,1.3
Single autosomal recessive mutation in rare disease,57c841c58f620314a4788738,0.2
Skeletal Muscle Channelopathies,55c4a3ed22c1fc0fe5e416e9,1.3
Stickler syndrome,554a0ac9bb5a167e4ccd1ec1,1.23
Structural basal ganglia disorders,56ba024322c1fc5025762b4d,1.6
Sudden death in young people,5763f6508f620350a1996055,1.9
Testicular cancer pertinent cancer susceptibility,5970a5068f62035a0311ac5d,0.4
Thoracic dystrophies,554a0ac9bb5a167e4ccd1ec2,1.1
Ultra-rare undescribed monogenic disorders,5763f5688f620350a22bcce3,0.2
Undiagnosed metabolic disorders,5763f1518f620350a22bccdb,1.72
Undiagnosed neurocutaneous disorders,5669854622c1fc3d5bbee17a,0.46
Unexplained kidney failure in young people,5693974122c1fc251660fb1f,1.7
Unexplained monogenic fetal disorders,57c59f3f8f62030d4e7e01be,0.3
Unexplained skeletal dysplasia,5693952f22c1fc251660fb1e,1.78
Unprovoked Thrombosis before 40 years of age,58c8048d8f62033f90c2716c,0.2
Upper gastrointestinal cancer pertinent cancer susceptibility,5970a3288f62035a0311ac54,0.14
VACTERL-like phenotypes,553f9598bb5a1616e5ed45ae,1.19
Vici Syndrome and other autophagy disorders,553f94b3bb5a1616e5ed4593,1.1
monogenic nephrogenic diabetes insipidus,575ec3a58f62034208b69eda,1.5
