Gene	Panel
ACTA2	sub_RefSeq_-20+10_FE_AortopathyBAV_v2
ACTA2	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
ACTA2	sub_RefSeq_-20+10_FE_Cardiac_BAV_v1
ACTA2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
ACTA2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
ACTA2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
ACTA2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
ACTA2	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_Microcephaly_v1
ACTA2	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_v1
ACTA2	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
ACTA2	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+DA_v1
ACTA2	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+Stickler_v1
ACTA2	sub_RefSeq_-20+10_FE_ConnTissue_v1
ACTC1	Cardiac_SureSelect_All_Regions_forCoverageBed
ACTC1	FE_Cardiac_SureSelect_hg19_coverage
ACTC1	FE_CHD_SureSelect_hg19_coverage
ACTC1	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_LQT_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_Microcephaly_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_CHD_Hypoparathy_microcep_noonan_CdLddx_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_CHD_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_CHD_v2
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_HCM_v1
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_HCM_v1_FOR_COVERAGE
ACTC1	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
ACTG1	sub_RefSeq_-20+10_FE_Deafness_GOS_Cam_clone_v1
ACTN2	Cardiac_SureSelect_All_Regions_forCoverageBed
ACTN2	FE_Cardiac_SureSelect_hg19_coverage
ACTN2	FE_CHD_SureSelect_hg19_coverage
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_v1
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_LQT_v1
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_v1
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_HCM_v1
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_HCM_v1_FOR_COVERAGE
ACTN2	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
ACTN4	FE_SRNS_SureSelect_hg19_coverage
ACTN4	SRNS_new
ACTN4	SRNS_V5
ACVR1	FE_CHD_SureSelect_hg19_coverage
ACVR2B	FE_CHD_SureSelect_hg19_coverage
ACVR2B	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
ACVR2B	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
ACVR2B	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
ACVR2B	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_Microcephaly_v1
ACVR2B	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_v1
ACVR2B	sub_RefSeq_-20+10_FE_Cardiac_CHD_Hypoparathy_microcep_noonan_CdLddx_v1
ACVR2B	sub_RefSeq_-20+10_FE_Cardiac_CHD_v1
ACVR2B	sub_RefSeq_-20+10_FE_Cardiac_CHD_v2
ACVR2B	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
ACVRL1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
ACVRL1	sub_RefSeq_-20+10_FE_Cardiac_PulmonaryHypertension_v1
ADA	sub_RefSeq_-20+10_FE_ImmunologyPanel_v1
ADA	sub_RefSeq_-20+10_FE_ImmunologyPanel+NF1ex27_v1
ADAM17	sub_RefSeq_-20+10_FE_ImmunologyPanel_v1
ADAM17	sub_RefSeq_-20+10_FE_ImmunologyPanel+NF1ex27_v1
ADAMTS10	sub_RefSeq_-20+10_FE_adHoc_aortopathy_GNAS_PHF6_HDAC4_IDS_v1
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v1
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v2
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v3
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4_ForCovAssessmentONLY
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v1
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v2
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_v4
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_v5
ADAMTS10	sub_RefSeq_-20+10_FE_Aortopathy_v6
ADAMTS10	sub_RefSeq_-20+10_FE_AortopathyBAV_v1
ADAMTS10	sub_RefSeq_-20+10_FE_AortopathyBAV_v2
ADAMTS10	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
ADAMTS10	sub_RefSeq_-20+10_FE_EctopiaLentis_v1
ADAMTS17	sub_RefSeq_-20+10_FE_adHoc_aortopathy_GNAS_PHF6_HDAC4_IDS_v1
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v1
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v2
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v3
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4_ForCovAssessmentONLY
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v1
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v2
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_v4
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_v5
ADAMTS17	sub_RefSeq_-20+10_FE_Aortopathy_v6
ADAMTS17	sub_RefSeq_-20+10_FE_AortopathyBAV_v1
ADAMTS17	sub_RefSeq_-20+10_FE_AortopathyBAV_v2
ADAMTS17	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
ADAMTS17	sub_RefSeq_-20+10_FE_EctopiaLentis_v1
ADAMTS2	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
ADAMTS2	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
ADAMTS2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
ADAMTS2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
ADAMTS2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
ADAMTS2	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_Microcephaly_v1
ADAMTS2	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_v1
ADAMTS2	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+DA_v1
ADAMTS2	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+Stickler_v1
ADAMTS2	sub_RefSeq_-20+10_FE_ConnTissue_v1
ADAMTSL2	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
ADAMTSL4	sub_RefSeq_-20+10_FE_adHoc_aortopathy_GNAS_PHF6_HDAC4_IDS_v1
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v1
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v2
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v3
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4_ForCovAssessmentONLY
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v1
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v2
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_v4
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_v5
ADAMTSL4	sub_RefSeq_-20+10_FE_Aortopathy_v6
ADAMTSL4	sub_RefSeq_-20+10_FE_AortopathyBAV_v1
ADAMTSL4	sub_RefSeq_-20+10_FE_AortopathyBAV_v2
ADAMTSL4	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
ADAMTSL4	sub_RefSeq_-20+10_FE_EctopiaLentis_v1
ADCK4	FE_SRNS_SureSelect_hg19_coverage
ADGRV1	sub_RefSeq_-20+10_FE_Deafness_GOS_Cam_clone_v1
ADSL	sub_RefSeq_-20+10_FE_Epilepsy_GOS_EIEE_72geneClone_Microcephaly_v1
AGL	AGLwholegeneRefSeq
AGL	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
AGL	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_v1
AGL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
AGL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
AGL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
AGL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_LQT_v1
AGL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
AGL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_v1
AGL	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
AGL	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
AICDA	sub_RefSeq_-20+10_FE_ImmunologyPanel_v1
AICDA	sub_RefSeq_-20+10_FE_ImmunologyPanel+NF1ex27_v1
AIFM1	sub_RefSeq_-20+10_FE_IPNClone+AIFM1_v1
AIP	KR_TSC_flank20
AIRE	sub_RefSeq_-20+10_FE_adHoc_AIRE_FOXP3_v1
AIRE	sub_RefSeq_-20+10_FE_ImmunologyPanel_v1
AIRE	sub_RefSeq_-20+10_FE_ImmunologyPanel+NF1ex27_v1
AK2	sub_RefSeq_-20+10_FE_ImmunologyPanel_v1
AK2	sub_RefSeq_-20+10_FE_ImmunologyPanel+NF1ex27_v1
AKAP9	FE_CHD_SureSelect_hg19_coverage
AKAP9	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
AKAP9	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_v1
AKAP9	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_LQTonly_v1
AKAP9	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_v1
AKAP9	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
AKAP9	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_LQT_v1
AKAP9	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
AKT1	sub_RefSeq_-20+10_FE_Overgrowth_Standard_Hemihypertrophy_v2
AKT1	sub_RefSeq_-20+10_FE_Overgrowth_Standard_Hemihypertrophy_v2_ForCovAssessmentONLY
AKT2	sub_RefSeq_-20+10_FE_Overgrowth_Standard_Hemihypertrophy_v2
AKT2	sub_RefSeq_-20+10_FE_Overgrowth_Standard_Hemihypertrophy_v2_ForCovAssessmentONLY
AKT3	sub_RefSeq_-20+10_FE_Overgrowth_Standard_Hemihypertrophy_v2
AKT3	sub_RefSeq_-20+10_FE_Overgrowth_Standard_Hemihypertrophy_v2_ForCovAssessmentONLY
ALDH18A1	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
ALDH18A1	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
ALDH18A1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
ALDH18A1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
ALDH18A1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
ALDH18A1	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_Microcephaly_v1
ALDH18A1	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_v1
ALDH18A1	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+DA_v1
ALDH18A1	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+Stickler_v1
ALDH18A1	sub_RefSeq_-20+10_FE_ConnTissue_v1
ALG1	FE_SRNS_SureSelect_hg19_coverage
ALG1	SRNS_new
ALG1	SRNS_V5
ALG1	sub_RefSeq_-20+10_FE_Glycosylation_Type1_v1
ALG11	sub_RefSeq_-20+10_FE_Glycosylation_Type1_v1
ALG12	sub_RefSeq_-20+10_FE_Glycosylation_Type1_v1
ALG13	sub_RefSeq_-20+10_FE_Epilepsy_GOS_EIEE_72geneClone_Microcephaly_v1
ALG13	sub_RefSeq_-20+10_FE_Glycosylation_Type1_v1
ALG2	sub_RefSeq_-20+10_FE_Glycosylation_Type1_v1
ALG3	sub_RefSeq_-20+10_FE_Glycosylation_Type1_v1
ALG6	sub_RefSeq_-20+10_FE_Glycosylation_Type1_v1
ALG8	sub_RefSeq_-20+10_FE_Glycosylation_Type1_v1
ALG9	sub_RefSeq_-20+10_FE_Glycosylation_Type1_v1
ALK	KR_TSC_flank20
ALMS1	FE_SRNS_SureSelect_hg19_coverage
ALMS1	SRNS_new
ALMS1	SRNS_V5
ALOX12B	sub_RefSeq_-20+10_FE_CongenitalIchthyosis_v1
ALOXE3	sub_RefSeq_-20+10_FE_CongenitalIchthyosis_v1
AMER1	FE_OP_SureSelect_hg19_coverage
AMER1	sub_RefSeq_-20+10_FE_OP_clone_v1
AMER1	sub_RefSeq_-20+10_FE_OP_clone_v1_covonly
AMER1	sub_RefSeq_-20+10_FE_OP-Clone+Osteosclerosis_v1
AMER1	sub_RefSeq_-20+10_FE_OP-Clone+Osteosclerosis_v1_covonly
ANGPTL3	HTG_ONLY-20+10_hg19
ANGPTL3	HTG-20+10_hg19
ANK2	FE_CHD_SureSelect_hg19_coverage
ANK2	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
ANK2	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_v1
ANK2	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_LQTonly_v1
ANK2	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_v1
ANK2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
ANK2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_LQT_v1
ANK2	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
ANKH	FE_OP_SureSelect_hg19_coverage
ANKH	sub_RefSeq_-20+10_FE_OP_clone_v1
ANKH	sub_RefSeq_-20+10_FE_OP_clone_v1_covonly
ANKH	sub_RefSeq_-20+10_FE_OP-Clone+Osteosclerosis_v1
ANKH	sub_RefSeq_-20+10_FE_OP-Clone+Osteosclerosis_v1_covonly
ANKRD1	Cardiac_SureSelect_All_Regions_forCoverageBed
ANKRD1	FE_Cardiac_SureSelect_hg19_coverage
ANKRD1	FE_CHD_SureSelect_hg19_coverage
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_v1
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_LQT_v1
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_v1
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_HCM_v1
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_HCM_v1_FOR_COVERAGE
ANKRD1	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
ANKRD11	FE_KBG_SureSelect_hg19_coverage
ANKRD11	sub_RefSeq_-20+10_FE_adHoc_Noonan_CdLS_ddx_Koolen_de_Vries_Kleefstra
ANKRD11	sub_RefSeq_-20+10_FE_Cardiac_CHD_Hypoparathy_microcep_noonan_CdLddx_v1
ANKRD11	sub_RefSeq_-20+10_FE_CdL_and_Differentials_MICROCEPHALY_v1
ANKRD11	sub_RefSeq_-20+10_FE_CdL_and_Differentials_v1
ANKRD11	sub_RefSeq_-20+10_FE_CdL_and_Differentials+NRXN1_v1
ANKS6	FE_SRNS_SureSelect_hg19_coverage
ANKS6	SRNS_new
ANKS6	SRNS_V5
ANLN	SRNS_new
ANLN	SRNS_V5
ANO5	HTG-20+10_hg19
ANO5	IPN-Ext_QXT
ANO5	IPN-Ext_QXT_hg19_coverage
ANO5	IPN-Ext_QXT_hg19_coverage_newbits
ANO5	sub_RefSeq_-20+10_FE_IPN_extended_v1
AP3B1	sub_RefSeq_-20+10_FE_ImmunologyPanel_v1
AP3B1	sub_RefSeq_-20+10_FE_ImmunologyPanel+NF1ex27_v1
AP5Z1	IPN-Ext_QXT
AP5Z1	IPN-Ext_QXT_hg19_coverage
AP5Z1	IPN-Ext_QXT_hg19_coverage_newbits
AP5Z1	sub_RefSeq_-20+10_FE_IPN_extended_v1
APC	KR_TSC_flank20
APOA1	HTG_ONLY-20+10_hg19
APOA1	HTG-20+10_hg19
APOA5	HTG_ONLY-20+10_hg19
APOA5	HTG-20+10_hg19
APOB	CoreRegions_forCoverageBed_FH
APOB	FH_Core_Regions_forCoverageBed
APOB	FH_v2_v3_overlap
APOB	FH_V3_hg19
APOB	FH_V3+-20only
APOB	FH_variantcalling_Core_Regions_forCoverageBed
APOB	FH_variants_and_coverage_Regions_forCoverageBed
APOB	FHv3
APOB	FHversion3_060716
APOB	HTG_ONLY-20+10_hg19
APOC2	HTG_ONLY-20+10_hg19
APOC2	HTG-20+10_hg19
APOC3	HTG_ONLY-20+10_hg19
APOC3	HTG-20+10_hg19
APOE	HTG_ONLY-20+10_hg19
APOL1	FE_SRNS_SureSelect_hg19_coverage
APOL1	SRNS_new
APOL1	SRNS_V5
APTX	Breakage_fixedPOLH
APTX	CBD_SURESELECT
APTX	combined
APTX	FE_Breakage_SureSelect_hg19_coverage
